,pr,er,CPI,ltir
2026,0.7707547343929858,0.9556416419192525,4.7241961432785855,1.0950121334478753
2027,1.9166614249387774,0.9348162585674096,4.763106603362848,2.0136478622116996
2028,2.5417352871070285,0.9291536244920108,4.190286293910452,2.4900375286295113
2029,2.8852376006557936,0.9291040814153295,3.571887920786318,2.7349312295542454
2030,3.0700619783370477,0.9302804790970592,3.1181902253210945,2.8636793586085996
2031,3.110089233057682,0.9332771842891345,2.8570752372922574,2.7282800298585235
2032,2.7232233026005046,0.9352701743580489,2.4232613798167675,2.789439941280849
2033,2.5233939785689072,0.9360792747468328,2.170978227442045,2.877077964968299
2034,2.7949642377958464,0.9342806256319862,2.338420978458621,2.9602391401948713
2035,3.0726494225201852,0.932590582766631,2.57003154740575,3.0117352291765647
2036,3.2014336941355803,0.9318606248626992,2.6332703768657337,3.039873668252146
2037,3.240044822015427,0.931770473444166,2.602766672139092,3.06094640411381
2038,3.2622096084157195,0.9316275349791198,2.5686217231293673,3.0795075758940658
2039,3.297534405061816,0.9309349807878781,2.55511088847015,3.0960297192640924
2040,3.3328905052290225,0.9304918862397266,2.5485179954858506,3.1112269458351163
2041,3.3457309754963753,0.9300660916297416,2.5258735127113163,3.123645701438958
2042,3.3550203287576887,0.9297323885897418,2.499367460802086,3.1357959763878034
2043,3.364628374340107,0.929470730930941,2.483956144709848,3.1465132886459193
2044,3.3763842029625537,0.9293577327568814,2.476997459385022,3.1569483543804506
2045,3.393068476548813,0.9291706558221396,2.4794419835635666,3.1646807285080527
2046,3.4087809033260674,0.9290865321477769,2.488423510719815,3.171865434790152
2047,3.4242378696442946,0.9291812713456561,2.4971420739250156,3.1767776857086316
2048,3.4424041062279445,0.9291750836509537,2.502059752257783,3.1804440965840186
2049,3.4511800883958443,0.9293676759933978,2.5021199257872553,3.183127197527331
2050,3.4635401784139104,0.929431023692589,2.4951436008103807,3.184748192221681
